No,Kode Saham,Nama Perusahaan,Remarks,Sebelumnya,Open Price,Tanggal Perdagangan Terakhir,First Trade,Tertinggi,Terendah,Penutupan,Selisih,Volume,Nilai,Frekuensi,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
61,ASDM,Asuransi Dayin Mitra Tbk.,--U-2100000000G412------------,480,0,24 Jun 2024,0,498,480,494,14,8500,4182200,30,291.5,494,3500,490,100,384000000,384000000,66240000,0,0,0,0,0
62,ASGR,Astra Graphia Tbk.,--S-1135001000C224------------,740,0,24 Jun 2024,0,750,740,745,5,279300,207979500,166,154.5,745,390300,740,27700,1348780500,1348780500,297540978,0,267000,0,0,0
63,ASHA,Cilacap Samudera Fishing Industry Tbk.,--U-4130000000D231-----------X,15,0,24 Jun 2024,0,14,14,14,-1,348700,4881800,46,14,14,25536800,0,0,5000000000,5000000000,1250000000,0,0,0,0,0
64,ASII,Astra International Tbk.,--SO1XDAQ76000C311------------,4490,4480,24 Jun 2024,4480,4500,4410,4430,-60,36677200,162805669000,12520,3168,4430,94200,4420,64200,40483553140,40483553140,18254034111,26933300,17162200,19562560,85878425300,5
65,ASJT,Asuransi Jasa Tania Tbk.,--U-2100000000G412------------,111,0,24 Jun 2024,0,112,110,112,1,24200,2666300,9,97.7,112,30300,108,1600,1400000000,1400000000,316540000,0,0,0,0,0
66,ASLC,Autopedia Sukses Lestari Tbk.,--S-2135000000E745------------,73,0,24 Jun 2024,0,75,71,73,0,11469000,830768600,1024,28.5,74,1963100,73,1900,12746354780,12746354780,2559468040,575000,732700,0,0,0
67,ASLI,Asri Karya Lestari Tbk.,--U-2130000000J211------------,50,0,24 Jun 2024,0,50,50,50,0,230900,11545000,401,50,50,41633800,0,0,6250000000,1250000000,1255000000,0,0,0,0,0
68,ASMI,Asuransi Maximus Graha Persada Tbk.,--U-4100000000G412-----------X,10,0,24 Jun 2024,0,10,9,10,0,572200,5222000,8,18.5,10,750300,9,406100,8958380460,8958380460,5968073062,0,0,0,0,0
69,ASPI,Andalan Sakti Primaindo Tbk.,--U-2130000000H111------------,260,0,24 Jun 2024,0,264,256,258,-2,5330500,1383651400,687,245.7,258,76700,256,510600,681823317,681823317,332866143,0,6400,0,0,0
70,ASRI,Alam Sutera Realty Tbk.,--S-1175001000H111------------,126,0,24 Jun 2024,0,131,126,126,0,25305400,3263268100,677,120,128,300,126,223900,19649411888,19649411888,8761672761,2148500,2500,0,0,0
71,ASRM,Asuransi Ramayana Tbk.,--U-4100000000G412-----------X,390,0,24 Jun 2024,0,390,390,390,0,500,195000,3,789.3,390,19800,352,100,1217135360,1217135360,84712620,0,0,0,0,0
72,ASSA,Adi Sarana Armada Tbk.,--S-1805941000K132------------,680,0,24 Jun 2024,0,695,670,675,-5,5004600,3380506500,815,187.5,675,34500,670,431200,3691137517,3691137517,1656951631,354300,593400,0,0,0
73,ATAP,Trimitra Prawara Goldland Tbk.,--U-2130000000H111------------,50,0,24 Jun 2024,0,50,50,50,0,1000,50000,1,50,50,3069300,0,0,1250000000,1250000000,200000000,0,0,0,0,0
74,ATIC,Anabatic Technologies Tbk.,--U-2100000000I121------------,346,0,24 Jun 2024,0,362,346,348,2,6400,2253400,9,49.7,352,25000,348,3500,2315361355,2315361355,333180499,0,0,0,0,0
75,ATLA,Atlantis Subsea Indonesia Tbk.,--U-2130000000A132------------,50,0,24 Jun 2024,0,50,50,50,0,240600,12030000,92,50,50,40294000,0,0,6199500000,2000000000,2000000000,0,0,7340000,366000000,2
76,AUTO,Astra Otoparts Tbk.,--M-18G5MHG000E111------------,1835,0,24 Jun 2024,0,1845,1815,1820,-15,3293800,6009899500,1848,1646,1825,5500,1820,34200,4819733000,4819733000,962500680,1567000,1181000,0,0,0
77,AVIA,Avia Avian Tbk.,--M-11ACM06000B113------------,520,0,24 Jun 2024,0,525,500,505,-15,26852100,13615451000,2637,54.3,505,1027200,500,4745100,61953555600,61953555600,10061257429,17893400,11403700,0,0,0
78,AWAN,Era Digital Media Tbk.,--U-2130000000I111------------,370,0,24 Jun 2024,0,376,358,364,-6,2736900,1009686000,780,364,364,187600,362,42400,3435000000,3435000000,350370000,103500,0,0,0,0
79,AXIO,Tera Data Indonusa Tbk.,--S-1135000000I221------------,187,0,24 Jun 2024,0,189,150,183,-4,460300,81481600,251,130.7,183,300,181,9700,5840126500,5840126500,1220002426,700,3000,0,0,0
80,AYAM,Janu Putra Sejahtera Tbk.,--U-2130000000D231------------,105,0,24 Jun 2024,0,106,104,106,1,96674900,10193170500,1440,106,106,479500,105,21100,4000000000,800000000,768000000,609200,136000,0,0,0
81,AYLS,Agro Yasa Lestari Tbk.,--U-2130000000B121------------,50,0,24 Jun 2024,0,50,50,50,0,1200,60000,3,50,50,4222300,0,0,853423236,853423236,258672583,0,0,0,0,0
82,BABP,Bank MNC Internasional Tbk.,--U-2105000000G111------------,50,0,24 Jun 2024,0,50,50,50,0,104900,5245000,25,59.4,50,55333100,0,0,44014333126,44014333126,11250063547,0,20000,19191800,1113125200,4
83,BABY,Multitrend Indo Tbk.,--U-2130000000E741------------,175,0,24 Jun 2024,0,191,165,180,5,1904800,349441700,591,67.7,183,18600,180,4600,2668586400,1334000000,176393561,20200,98800,0,0,0
84,BACA,Bank Capital Indonesia Tbk.,--S-1105000000G111------------,130,0,24 Jun 2024,0,131,130,130,0,1042300,135500400,22,95.8,131,1249100,130,22421500,19753494636,19753494636,4997634143,0,0,2500000,327500000,1
85,BAIK,Bersama Mencapai Puncak Tbk.,--U-2130000000E515------------,54,0,24 Jun 2024,0,63,54,54,0,431500,23604300,102,19.4,55,25936100,54,310300,1125000000,225000000,213862500,0,0,0,0,0
86,BAJA,Saranacentral Bajatama Tbk.,--U-2100000000B144------------,94,0,24 Jun 2024,0,98,94,95,1,496500,47813600,124,38,96,3400,95,21400,1800000000,1800000000,399960000,0,0,0,0,0
87,BALI,Bali Towerindo Sentra Tbk.,CDU-1135000000J321------------,985,0,24 Jun 2024,0,1000,960,995,10,265400,262721500,52,1243.8,995,260700,975,400,3934592500,3934592500,1143392581,5800,10400,0,0,0
88,BANK,Bank Aladin Syariah Tbk.,--U-11E5000000G111------------,930,0,24 Jun 2024,0,955,895,905,-25,6744900,6250989500,1365,878.6,905,2600,900,45000,14621932140,14621932140,6138258650,1122900,923600,1500000,1365000000,2
89,BAPA,Bekasi Asri Pemula Tbk.,--U-2130000000H111------------,50,0,24 Jun 2024,0,0,0,50,0,0,0,0,33.3,50,6188100,0,0,661784520,661784520,211175440,0,0,0,0,0
90,BAPI,Bhakti Agung Propertindo Tbk.,--U-4130000000H111-----------X,50,0,24 Jun 2024,0,0,0,50,0,0,0,0,33.3,0,0,0,0,5591980103,1677762103,1677594031,0,0,0,0,0
91,BATA,Sepatu Bata Tbk.,--U-2130000000E412------------,67,0,24 Jun 2024,0,67,65,66,-1,486300,31911100,357,856,67,600,65,14800,1300000000,1300000000,220350000,385000,100000,0,0,0
92,BATR,Benteng Api Technic Tbk.,--U-2130000000B121------------,91,0,24 Jun 2024,0,93,82,90,-1,10810200,985534700,1609,81.8,91,307200,90,1662100,3025000000,2604125000,740250000,93100,158100,0,0,0
93,BAUT,Mitra Angkasa Sejahtera Tbk.,XDU-4130000000E743-----------X,14,0,24 Jun 2024,0,15,15,15,1,1654700,24820500,77,15,0,0,15,731000,4800136925,4800136925,1447240699,0,0,0,0,0
94,BAYU,Bayu Buana Tbk,--U-2130000000E513------------,1335,0,24 Jun 2024,0,1345,1330,1330,-5,144400,192897500,33,164.1,1330,2800,1325,6700,353220780,353220780,182897720,0,0,0,0,0
95,BBCA,Bank Central Asia Tbk.,--SO1UQNCNU000G111------------,9600,9600,24 Jun 2024,9600,9750,9575,9600,0,79592300,768363037500,18614,27409.8,9650,18700,9600,1248200,122042299500,122042299500,26172758467,51315200,72619400,1947450,18763836550,35
96,BBHI,Allo Bank Indonesia Tbk.,--U-1155000000G111------------,760,0,24 Jun 2024,0,800,755,765,5,608700,471353500,293,2946.3,775,200,765,39600,21512953877,21512953877,3136588675,67200,19900,1036300,984485000,2
97,BBKP,Bank KB Bukopin Tbk.,--U-1105000000G111------------,50,0,24 Jun 2024,0,51,50,50,0,96740200,4838879900,1211,21,50,15141700,0,0,185819884852,185819884852,28746336187,61293800,8052700,0,0,0
98,BBLD,Buana Finance Tbk.,--U-2105000000G211------------,630,0,24 Jun 2024,0,630,585,620,-10,29200,17968500,21,246.4,620,100,595,2000,1645796054,1645796054,448479425,0,0,0,0,0
99,BBMD,Bank Mestika Dharma Tbk.,XDU-2105000000G111------------,1950,0,24 Jun 2024,0,1950,1950,1950,0,1000,1950000,1,141.3,2000,1100,1950,1100,4049189100,4049189100,362807343,0,0,0,0,0
100,BBNI,Bank Negara Indonesia (Persero) Tbk.,--SO1UQSPBU000G111------------,4540,4540,24 Jun 2024,4530,4600,4460,4540,0,49112400,223373540000,9338,43.6,4550,60000,4540,703800,36924339786,36924339786,14710656971,29209000,26638900,4164100,18156708000,2
101,BBRI,Bank Rakyat Indonesia (Persero) Tbk.,--SO1UQSPNU000G111------------,4440,4440,24 Jun 2024,4450,4510,4400,4400,-40,303830800,1349207457000,52273,5160.6,4400,448700,4390,2433500,150043411587,150043411587,43442488439,221329900,137615200,20267644,89685111558,17
102,BBRM,Pelayaran Nasional Bina Buana Raya Tbk.,--U-2130000000A122------------,53,0,24 Jun 2024,0,54,50,51,-2,171500,8846700,76,16.4,52,900,51,48700,8479490328,8479490328,758066435,0,0,0,0,0
103,BBSI,Krom Bank Indonesia Tbk.,--U-2105000000G111------------,4300,0,24 Jun 2024,0,4030,3550,3940,-360,4100,15716000,24,896.7,4030,100,3940,3400,3637976068,3637976068,885119577,0,200,0,0,0
104,BBSS,Bumi Benowo Sukses Sejahtera Tbk.,--U-2100000000H111------------,122,0,24 Jun 2024,0,127,117,120,-2,21600,2575900,14,100,123,16700,121,1400,4800016020,4800016020,503041679,0,0,0,0,0
105,BBTN,Bank Tabungan Negara (Persero) Tbk.,--SO1HCEL6U000G111------------,1250,1255,24 Jun 2024,1250,1265,1240,1240,-10,13429700,16798519500,2425,167.7,1240,400,1235,380800,13894099969,13894099969,5557639988,4061900,6049700,0,0,0
106,BBYB,Bank Neo Commerce Tbk.,--U-1105000000G111------------,230,0,24 Jun 2024,0,246,230,240,10,44464900,10678033400,3211,294.4,240,400100,238,540000,11918427523,11918427523,6843561084,3323100,7550200,0,0,0
107,BCAP,MNC Kapital Indonesia Tbk.,--U-4105000000G511-----------X,31,0,24 Jun 2024,0,34,34,34,3,13939600,473946400,171,96.4,0,0,34,19183800,42618850927,42618850927,12440442586,13300,0,14000000,476000000,1
108,BCIC,Bank JTrust Indonesia Tbk.,--U-2105000000G111------------,91,0,24 Jun 2024,0,94,90,93,2,172300,15878800,48,7,93,15800,91,46500,17926071041,17926071041,760065412,0,100,0,0,0
109,BCIP,Bumi Citra Permai Tbk.,--U-2130000000H111------------,50,0,24 Jun 2024,0,50,50,50,0,142200,7110000,14,45.5,50,488600,0,0,1429915525,1429915525,789885336,0,0,0,0,0
110,BDKR,Berdikari Pondasi Perkasa Tbk.,--M-1135400000J211------------,545,0,24 Jun 2024,0,545,535,540,-5,37745400,20404173000,12428,270,545,709800,540,150200,4725101522,4725101522,723885553,1567800,416700,0,0,0
111,BDMN,Bank Danamon Indonesia Tbk.,--M-1155005000G111------------,2520,0,24 Jun 2024,0,2540,2480,2500,-20,482500,1214149000,306,1.4,2510,10000,2500,191500,9675817341,9675817341,818574147,169800,88600,0,0,0
112,BEBS,Berkah Beton Sadaya Tbk.,--U-4135000000B121-----------X,15,0,24 Jun 2024,0,14,14,14,-1,433600,6070400,32,70.1,14,1067405100,0,0,45000000000,45000000000,25659000000,0,0,549800,2749000,1
113,BEEF,Estika Tata Tiara Tbk.,--U-2135000000D222------------,184,0,24 Jun 2024,0,195,180,183,-1,430900,79263800,96,53.8,183,11700,180,254800,7031371419,7031357919,1425962124,0,0,0,0,0
114,BEER,Jobubu Jarum Minahasa Tbk.,--U-2105000000D211------------,258,0,24 Jun 2024,0,258,246,258,0,22500,5686400,27,117.3,258,13200,252,100,4000000000,4000000000,900000000,0,0,0,0,0
115,BEKS,Bank Pembangunan Daerah Banten Tbk.,--U-4105000000G111-----------X,23,0,24 Jun 2024,0,23,23,23,0,5958500,137045500,202,44.4,23,2527200,22,11869900,51351733883,51351733883,17403102613,0,0,0,0,0
116,BELI,Global Digital Niaga Tbk.,--U-5130000000I111----------I-,460,0,24 Jun 2024,0,474,458,464,4,5428400,2501072200,147,103.1,466,390500,462,400000,123210496616,22595658376,23194234757,1016400,72900,0,0,0
117,BELL,Trisula Textile Industries Tbk.,--U-2130000000E413------------,76,0,24 Jun 2024,0,79,75,76,0,1286200,98746200,209,253.3,77,300,76,16700,7250000000,7250000000,1155650000,27100,0,0,0,0
118,BESS,Batulicin Nusantara Maritim Tbk.,--U-2130000000A122------------,148,0,24 Jun 2024,0,152,146,149,1,15100,2252400,31,141.9,149,12100,148,1000,3440455528,3440455528,540839609,0,0,0,0,0
119,BEST,Bekasi Fajar Industrial Estate Tbk.,--S-1135001000H111------------,96,0,24 Jun 2024,0,97,89,96,0,22289100,2129803400,492,56.5,96,499000,95,4465300,9647311150,9647311150,4031611330,11814600,179700,0,0,0
120,BFIN,BFI Finance  Indonesia Tbk.,XDS-181C9N0000G211------------,905,0,24 Jun 2024,0,915,885,885,-20,4028500,3596487000,970,4535.2,890,5700,885,36100,15967115620,15967115620,6936115025,1698300,1208500,0,0,0
121,BGTG,Bank Ganesha Tbk.,--U-2105000000G111------------,62,0,24 Jun 2024,0,63,61,63,1,1533400,95175000,154,63.9,63,748900,62,121800,23731287132,23731287132,8329681783,0,0,0,0,0
122,BHAT,Bhakti Multi Artha Tbk.,--U-2105000000G413------------,326,0,24 Jun 2024,0,326,322,326,0,103100,33342200,55,316.5,326,50500,324,14500,5000000000,5000000000,1626500000,40300,0,0,0,0
123,BHIT,MNC Asia Holding Tbk.,--U-4105000000C311-----------X,28,0,24 Jun 2024,0,30,30,30,2,14330900,429927000,284,87.7,0,0,30,126957700,86068156705,86068156705,57020153817,109300,0,0,0,0
124,BIKA,Binakarya Jaya Abadi Tbk.,--U-4100000000H111-E-L-------X,56,0,24 Jun 2024,0,56,55,55,-1,300,16600,3,5.5,55,500,0,0,592280000,592280000,136520540,0,0,0,0,0
125,BIKE,Sepeda Bersama Indonesia Tbk.,XDS-2130000000E321------------,530,0,24 Jun 2024,0,540,525,540,10,6509600,3461782000,1011,317.6,540,309300,535,15700,1293916404,1293916404,323501838,150200,271800,0,0,0
126,BIMA,Primarindo Asia Infrastructure Tbk.,--U-2130000000E412------------,77,0,24 Jun 2024,0,80,76,76,-1,422600,32214900,135,18.7,77,116200,76,249500,608175716,608175716,86482587,0,0,0,0,0
127,BINA,Bank Ina Perdana Tbk.,--U-1105000000G111------------,4120,0,24 Jun 2024,0,4180,4110,4170,50,34300,143034000,15,2356,4170,4000,4130,10000,6073369498,6073369498,793789393,0,1100,180200000,760396000000,2
128,BINO,Perma Plasindo Tbk.,--U-2130000000C223------------,137,0,24 Jun 2024,0,137,125,136,-1,2815900,375192500,304,98.6,136,50800,135,5800,2175020254,2175020254,302980267,171100,80400,0,0,0
129,BIPI,Astrindo Nusantara Infrastruktur Tbk.,--U-2105000000A122---L--------,65,0,24 Jun 2024,0,68,64,67,2,177224300,11826404800,1885,47.9,67,348000,66,4076400,63710196917,63710196917,40952914578,4303500,19431900,31958400,2108630400,5
130,BIPP,Bhuwanatala Indah Permai Tbk.,--U-4130000000H111-----------X,20,0,24 Jun 2024,0,20,20,20,0,200,4000,2,8.3,22,131400,20,20500,5028669376,5028669376,1660466628,0,0,0,0,0
131,BIRD,Blue Bird Tbk.,CDS-1135106000K132------------,1535,0,24 Jun 2024,0,1555,1530,1530,-5,5154000,7919057500,1149,23.5,1530,10300,1525,74300,2502100000,2502100000,905760200,337400,2490700,0,0,0
132,BISI,BISI International Tbk.,XDU-1135000000D232------------,1810,0,24 Jun 2024,0,1850,1675,1675,-135,80300,139240000,87,837.5,1685,200,1675,2600,3000000000,3000000000,1372500000,52100,0,0,0,0
133,BJBR,Bank Pembangunan Daerah Jawa Barat dan Banten Tbk.,--S-115F30J000G111------------,975,0,24 Jun 2024,0,975,960,965,-10,974900,943788000,982,161.4,970,79000,965,330100,10416229249,10275158214,2537393445,457900,20000,0,0,0
134,BJTM,Bank Pembangunan Daerah Jawa Timur Tbk.,--S-1105306000G111------------,520,0,24 Jun 2024,0,530,515,520,0,8771700,4575636000,2616,120.9,525,1093300,520,733300,14865343101,14865343101,3045908801,2818800,1437700,0,0,0
135,BKDP,Bukit Darmo Property Tbk,--U-2130000000H111------------,50,0,24 Jun 2024,0,50,50,50,0,100,5000,1,41.7,50,2660800,0,0,7513992252,7513992252,1852199090,0,0,0,0,0
136,BKSL,Sentul City Tbk.,--U-4135000000H111-----------X,31,0,24 Jun 2024,0,31,30,30,-1,16035700,491470800,82,2.1,30,1814900,29,18109700,167708902705,167708902705,25005397393,0,10000000,0,0,0
137,BKSW,Bank QNB Indonesia Tbk.,--U-4105000000G111-----------X,50,0,24 Jun 2024,0,51,50,51,1,737400,36880000,17,117,51,35100,50,938900,34953681505,34953681505,1527475882,419800,0,0,0,0
138,BLTA,Berlian Laju Tanker Tbk,--U-4135000000K211-----------X,13,0,24 Jun 2024,0,14,14,14,1,2072400,29013600,43,0.2,14,4696000,13,2626700,25940187103,25940187103,10459083440,0,0,0,0,0
139,BLTZ,Graha Layar Prima Tbk.,--U-2135000000E514------------,1830,0,24 Jun 2024,0,1920,1650,1650,-180,1100,2045500,11,110,1920,200,1650,600,873937142,873937142,78304768,100,0,0,0,0
140,BLUE,Berkah Prima Perkasa Tbk.,--U-2130000000C223------------,342,0,24 Jun 2024,0,352,340,350,8,204800,71237800,103,269.2,350,25100,346,3500,418000000,418000000,50076400,0,0,0,0,0
141,BMAS,Bank Maspion Indonesia Tbk.,--U-2105000000G111------------,510,0,24 Jun 2024,0,515,500,500,-10,20100,10300000,8,407.4,510,4300,500,3900,17921635680,17921635680,897873948,0,0,0,0,0
142,BMBL,Lavender Bina Cendikia Tbk.,--U-3000000000E521------------,5,0,24 Jun 2024,0,6,4,6,1,1565700,8845700,93,3.2,6,4524500,5,3059800,1030080995,1030080995,0,0,0,0,0,0
143,BMHS,Bundamedik Tbk.,XDU-1135000000F121------------,312,0,24 Jun 2024,0,318,288,298,-14,146700,43862000,116,87.6,300,12800,298,1003100,8603416176,8601877576,2741908735,17500,33700,0,0,0
144,BMRI,Bank Mandiri (Persero) Tbk.,--SO1UQSPNU000G111------------,6125,6075,24 Jun 2024,6100,6125,6000,6000,-125,58831900,356073592500,11295,3624.5,6025,4700,6000,4440000,92399999996,92399999996,36876839998,43797500,23156000,1233637,7402819600,6
145,BMSR,Bintang Mitra Semestaraya Tbk,--U-2130000000B111------------,336,0,24 Jun 2024,0,338,320,336,0,34500,11315200,21,67.2,334,1200,328,300,1159200024,1159200024,463911850,0,0,0,0,0
146,BMTR,Global Mediacom Tbk.,--S-183FFH3000E611------------,218,0,24 Jun 2024,0,224,216,218,0,60057200,13296546400,884,177.4,218,368900,216,832500,16583997586,16583997586,9746415381,10978400,10001700,0,0,0
147,BNBA,Bank Bumi Arta Tbk.,--U-2105000000G111------------,610,0,24 Jun 2024,0,630,610,620,10,673800,416614500,74,441.5,620,12100,610,163300,3354120000,3354120000,278727372,213100,41000,0,0,0
148,BNBR,Bakrie & Brothers Tbk,--U-4135000000C311-----------X,20,0,24 Jun 2024,0,22,22,22,2,23460600,516133200,113,0.1,0,0,22,24170200,160057457509,160057457509,23160314102,100,0,0,0,0
149,BNGA,Bank CIMB Niaga Tbk.,--M-115W905000G111------------,1710,0,24 Jun 2024,0,1720,1695,1700,-10,4564800,7785555500,2814,12.6,1700,15600,1695,209600,24890783784,24890783784,1854363392,1805500,539100,91,116935,1
150,BNII,Bank Maybank Indonesia Tbk.,--U-1105000000G111------------,204,0,24 Jun 2024,0,212,202,204,0,215500,44151400,161,2.4,204,2000,202,117100,75357433911,75357433911,8319460704,93900,0,0,0,0
151,BNLI,Bank Permata Tbk.,--U-2105000000G111------------,880,0,24 Jun 2024,0,890,880,880,0,17500,15469000,26,11,890,3700,880,7900,35819545925,35819545925,100294729,0,0,0,0,0
152,BOBA,Formosa Ingredient Factory Tbk.,--U-2130000000D222------------,175,0,24 Jun 2024,0,174,163,170,-5,10200,1744200,25,60.7,174,23600,170,200,1155750000,1155750000,273566025,0,1300,0,0,0
153,BOGA,Bintang Oto Global Tbk.,--U-2135000000E745------------,830,0,24 Jun 2024,0,845,825,830,0,117254500,97686178500,3351,805.8,830,149900,825,49400,3803526210,3803526210,2681485978,2376700,1252600,21450000,21275250000,3
154,BOLA,Bali Bintang Sejahtera Tbk.,--U-1100000000E514------------,92,0,24 Jun 2024,0,105,92,98,6,5169500,526784000,267,56,99,15000,98,3200,6000000000,6000000000,2295600000,160800,0,0,0,0
155,BOLT,Garuda Metalindo Tbk.,XDU-2135000000E111------------,920,0,24 Jun 2024,0,915,900,915,-5,130500,118690000,55,166.4,920,7300,900,33500,2343750000,2343750000,347578125,0,0,0,0,0
156,BOSS,Borneo Olah Sarana Sukses Tbk.,--U-4100000000A121BE-L-------X,50,0,24 Jun 2024,0,0,0,50,0,0,0,0,12.5,0,0,0,0,1400000000,1400000000,995960000,0,0,0,0,0
157,BPFI,Woori Finance Indonesia Tbk.,--U-2105000000G211------------,318,0,24 Jun 2024,0,352,308,332,14,142200,48543600,162,532.1,340,300,326,500,2673995362,2673995362,88776646,7900,1900,0,0,0
158,BPII,Batavia Prosperindo Internasional Tbk.,XDU-2105000000G511------------,545,0,24 Jun 2024,0,545,525,535,-10,991500,532298500,208,2135.1,535,15500,525,35000,10309973240,10309973240,1002129400,41700,0,0,0,0
159,BPTR,Batavia Prosperindo Trans Tbk.,--U-2100000000K132------------,86,0,24 Jun 2024,0,87,85,86,0,808700,69220100,70,140.9,86,137200,85,183200,3534000000,3534000000,856288200,0,0,0,0,0
160,BRAM,Indo Kordsa Tbk.,--U-2135000000E112------------,6100,0,24 Jun 2024,0,6100,5650,5900,-200,4600,26785000,32,229.6,5975,100,5900,400,450056980,450056980,71919105,0,0,0,0,0
161,BREN,Barito Renewables Energy Tbk.,XDU-1100000000J411------------,9100,0,24 Jun 2024,0,9475,9025,9400,300,22229200,208046402500,9103,1205.1,9425,1698100,9400,301000,133786220000,133786220000,15693123606,12484800,9827300,6,54600,1
162,BRIS,Bank Syariah Indonesia Tbk.,XDMO1XE2R5R000G111------------,2420,2420,24 Jun 2024,2430,2540,2420,2510,90,45739100,114877153000,10017,503.8,2510,118400,2500,2315300,45667877639,45667877639,4511986311,5251500,22374200,59100,149050200,1
163,BRMS,Bumi Resources Minerals Tbk.,--S-1K3CF20000B146------------,142,0,24 Jun 2024,0,143,139,142,0,45117700,6369735300,1111,25.8,142,2006800,141,14603300,141784040338,141784040338,73954555440,11964700,7250000,890768450,124684531050,3
164,BRNA,Berlina Tbk.,--U-4100000000B131-----------X,610,0,24 Jun 2024,0,0,0,610,0,0,0,0,457.7,0,0,610,100,979110000,979110000,284137722,0,0,0,0,0
165,BRPT,Barito Pacific Tbk.,CDSO1XD4Q44000B111------------,950,950,24 Jun 2024,955,975,945,965,15,92971300,89060590000,8430,377.4,965,1609500,960,66000,93747218044,93747218044,28255411518,14862700,9988000,0,0,0
166,BSBK,Wulandari Bangun Laksana Tbk.,--U-1135000000H111------------,55,0,24 Jun 2024,0,56,52,56,1,20098600,1091635600,962,56,56,5699000,55,30000,25091882375,25091882375,3778837486,0,2062600,0,0,0
167,BSDE,Bumi Serpong Damai Tbk.,--S-183FM81000H111------------,980,0,24 Jun 2024,0,990,960,960,-20,10930900,10646142500,1596,188,970,230300,960,1909600,21171365812,21171365812,6863756796,1432000,4999600,32,30720,1
168,BSIM,Bank Sinarmas Tbk.,--U-1105000000G111------------,805,0,24 Jun 2024,0,805,760,800,-5,5700,4488500,16,545.6,795,1700,765,1000,19517921842,19517921842,7471460481,0,1700,0,0,0
169,BSML,Bintang Samudera Mandiri Lines Tbk.,--S-2130000000A122------------,116,0,24 Jun 2024,0,122,113,121,5,26470800,3157401800,860,103.4,122,920900,121,2100,1850225000,1850225000,296961113,1826000,2600900,0,0,0
170,BSSR,Baramulti Suksessarana Tbk.,--M-2135000000A121------------,4000,0,24 Jun 2024,0,4030,3930,4010,10,2239800,8926683000,1417,205.6,4020,84700,4010,1700,2616500000,2616500000,242287900,175700,50300,0,0,0
171,BSWD,Bank Of India Indonesia Tbk.,--U-4105000000G111-----------X,3100,0,24 Jun 2024,0,0,0,3100,0,0,0,0,3418.2,3000,1000,0,0,3651978177,3651978177,277550341,0,0,0,0,0
172,BTEK,Bumi Teknokultura Unggul Tbk,--U-4105000000D232M----------X,1,0,24 Jun 2024,0,2,1,2,1,70082200,131983100,246,15.3,2,110189500,1,743675200,46277496376,46277496376,20139966423,0,0,0,0,0
173,BTEL,Bakrie Telecom Tbk.,--U-4105000000J321-E-L-------X,50,0,24 Jun 2024,0,0,0,50,0,0,0,0,46.9,0,0,0,0,36822665755,36822665755,18389239278,0,0,0,0,0
174,BTON,Betonjaya Manunggal Tbk.,--U-4130000000B144-----------X,414,0,24 Jun 2024,0,410,410,410,-4,1700,697000,3,1369.3,410,21800,408,500,720000000,720000000,64080000,0,0,0,0,0
175,BTPN,Bank BTPN Tbk.,--U-1105000000G111------------,2280,0,24 Jun 2024,0,2270,2260,2270,-10,5500,12437000,12,441.1,2270,4600,2260,5700,10536203690,10536203690,801934627,0,0,0,0,0
176,BTPS,Bank BTPN Syariah Tbk.,--S-18L5M36000G111------------,1085,0,24 Jun 2024,0,1145,1090,1130,45,8382000,9454285500,2616,115.9,1130,60800,1120,14400,7626663000,7626663000,2287236234,856900,1104600,5133000,5381920000,2
177,BUAH,Segar Kumala Indonesia Tbk.,--U-2135000000D112------------,1400,0,24 Jun 2024,0,1435,1400,1430,30,35200,50165500,81,368.6,1435,15100,1430,300,1000000000,1000000000,129300000,0,0,0,0,0
178,BUDI,Budi Starch & Sweetener Tbk.,CDU-1135000000D222------------,280,0,24 Jun 2024,0,292,278,280,0,436500,125234800,91,151.8,280,239700,278,62200,4498997362,4498997362,1496816422,21900,300000,0,0,0
179,BUKA,Bukalapak.com Tbk.,--UO5H45901000I111----------I-,129,130,24 Jun 2024,131,139,130,135,6,219397800,29591592000,3902,15.9,136,12236200,135,128100,103108797367,103108797367,56405991982,51112400,136825800,5291320,711245600,5
180,BUKK,Bukaka Teknik Utama Tbk.,--U-2135000000J211------------,995,0,24 Jun 2024,0,995,985,995,0,26200,25947500,10,168.6,1000,60300,995,1100,2640452000,2640452000,240281132,0,0,0,0,0
181,BULL,Buana Lintas Lautan Tbk.,--U-2135000000A112------------,131,0,24 Jun 2024,0,137,131,134,3,286379400,38608906900,3133,13.1,135,934600,134,670100,14117801449,14117801449,10287641916,11777900,87449000,571300,63694100,2
182,BUMI,Bumi Resources Tbk.,--U-1135000000A121------------,76,0,24 Jun 2024,0,79,75,79,3,165103400,12805435600,4576,4.6,80,19216700,79,1734600,371320705024,371320705024,131596057861,13993800,15968800,25,1900,1
183,BUVA,Bukit Uluwatu Villa Tbk.,--U-2105000000E512------------,57,0,24 Jun 2024,0,57,53,55,-2,7402400,404450200,62,42.3,56,1500000,55,9999900,20590473213,20590473213,3214172869,1357800,75600,0,0,0
