No,Kode Saham,Nama Perusahaan,Remarks,Sebelumnya,Open Price,Tanggal Perdagangan Terakhir,First Trade,Tertinggi,Terendah,Penutupan,Selisih,Volume,Nilai,Frekuensi,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
903,WEGE,Wijaya Karya Bangunan Gedung Tbk.,XDU-1130050000J211------------,55,0,24 Jun 2024,0,57,54,55,0,2353800,128739300,122,19,56,1227200,55,70500,9572000000,9572000000,2871600000,0,19800,0,0,0
904,WEHA,WEHA Transportasi Indonesia Tbk.,--S-2130000000K132------------,100,0,24 Jun 2024,0,100,99,100,0,2080300,206246000,176,46.5,100,435500,99,686900,1460554819,1460554819,432032115,314500,0,0,0,0
905,WGSH,Wira Global Solusi Tbk.,--U-3000000000I131------------,68,0,24 Jun 2024,0,69,66,67,-1,649500,43560600,105,47.9,67,14100,66,29900,1042500000,1042500000,0,0,0,0,0,0
906,WICO,Wicaksana Overseas International Tbk.,--U-4100000000D112-E---------X,123,0,24 Jun 2024,0,0,0,123,0,0,0,0,10.2,0,0,123,2200,2393710348,2393710348,107238224,0,0,0,0,0
907,WIDI,Widiant Jaya Krenindo Tbk.,--U-3000000000C141------------,9,0,24 Jun 2024,0,9,8,9,0,4815500,38608700,92,9,9,4555900,8,4344100,1600019658,675619658,0,0,0,0,0,0
908,WIFI,Solusi Sinergi Digital Tbk.,XDS-2830410000I111------------,186,0,24 Jun 2024,0,204,186,191,5,189646600,37239588600,10653,36,191,951900,190,1488500,2359355118,2359355118,1177082268,15068900,18226300,0,0,0
909,WIIM,Wismilak Inti Makmur Tbk.,XDS-1805000000D311------------,995,0,24 Jun 2024,0,1005,985,995,0,1270500,1260203000,490,153.1,995,1300,990,21200,2099873760,2099873760,669019780,437800,401500,0,0,0
910,WIKA,Wijaya Karya (Persero) Tbk.,--U-2105000000J211------------,86,0,24 Jun 2024,0,90,77,89,3,16954800,1495844900,1392,26.9,89,377800,88,507500,39873063858,39873063858,19487957502,1611900,6900500,0,0,0
911,WINE,Hatten Bali Tbk.,XDU-2105000000D211------------,298,0,24 Jun 2024,0,296,286,286,-12,27200,7829000,33,221.7,290,7100,286,31600,2710000000,678000000,501892000,100,0,0,0,0
912,WINR,Winner Nusantara Jaya Tbk.,--U-4130000000H111-----------X,11,0,24 Jun 2024,0,11,11,11,0,1355200,14907200,98,11,12,186600,11,5139000,5235287883,5235287883,1499903784,158400,0,0,0,0
